variable,fault_type,station_id,start_time,duration,severity
humidity,spike,42181,2025-08-13 15:00:00,6,severe
humidity,frozen,42182,2025-09-27 09:00:00,6,severe
humidity,drift,42176,2025-10-05 09:00:00,3,severe
humidity,noise,42182,2025-03-20 13:00:00,4,severe
humidity,missing,42181,2025-07-18 03:00:00,6,mild
pressure,spike,42139,2025-12-07 05:00:00,6,mild
pressure,frozen,42176,2025-12-12 13:00:00,3,severe
pressure,drift,42181,2025-01-17 05:00:00,4,severe
pressure,noise,42176,2025-03-03 03:00:00,4,severe
pressure,missing,42139,2025-04-26 22:00:00,4,mild
